name,slug,value,date_of_information,ranking,region
"Kiribati","kiribati","12.4","2019","1","Australia and Oceania"
"Greenland","greenland","10.6","2018","2","North America"
"Solomon Islands","solomon-islands","10.1","2015","3","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","9.7","2018","4","Australia and Oceania"
"Marshall Islands","marshall-islands","9.6","2019","5","Australia and Oceania"
"Namibia","namibia","9.4","2020","6","Africa"
"Sierra Leone","sierra-leone","9.3","2020","7","Africa"
"Montserrat","montserrat","9.1","2019","8","Central America and the Caribbean"
"Faroe Islands","faroe-islands","8.2","2017","9","Europe"
"Tonga","tonga","8.0","2019","10","Australia and Oceania"
"Belize","belize","7.9","2020","11","Central America and the Caribbean"
"Denmark","denmark","7.8","2017","12","Europe"
"Iceland","iceland","7.6","2018","13","Europe"
"Norway","norway","7.6","2018","14","Europe"
"Sweden","sweden","7.6","2018","15","Europe"
"Lesotho","lesotho","7.4","2020","16","Africa"
"Bolivia","bolivia","7.3","2014","17","South America"
"Tunisia","tunisia","7.3","2016","18","Africa"
"Suriname","suriname","7.2","2019","19","South America"
"Bhutan","bhutan","6.9","2018","20","South Asia"
"Botswana","botswana","6.9","2019","21","Africa"
"South Africa","south-africa","6.8","2020","22","Africa"
"Timor-Leste","timor-leste","6.8","2018","23","East and Southeast Asia"
"Costa Rica","costa-rica","6.7","2020","24","Central America and the Caribbean"
"Kuwait","kuwait","6.6","2020","25","Middle East"
"Belgium","belgium","6.4","2018","26","Europe"
"Finland","finland","6.3","2018","27","Europe"
"Israel","israel","6.2","2018","28","Middle East"
"Mozambique","mozambique","6.2","2019","29","Africa"
"Algeria","algeria","6.1","2019","30","Africa"
"Brazil","brazil","6.1","2018","31","South America"
"Moldova","moldova","6.1","2019","32","Europe"
"Puerto Rico","puerto-rico","6.1","2014","33","Central America and the Caribbean"
"New Zealand","new-zealand","6.0","2018","34","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","5.9","2019","35","Africa"
"Burkina Faso","burkina-faso","5.8","2019","36","Africa"
"Cyprus","cyprus","5.8","2017","37","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.7","2018","38","Central America and the Caribbean"
"Tajikistan","tajikistan","5.7","2019","39","Central Asia"
"Aruba","aruba","5.5","2016","40","Central America and the Caribbean"
"Chile","chile","5.4","2018","41","South America"
"France","france","5.4","2018","42","Europe"
"Jamaica","jamaica","5.4","2020","43","Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","5.4","2019","44","Central Asia"
"Netherlands","netherlands","5.4","2018","45","Europe"
"Oman","oman","5.4","2019","46","Middle East"
"Ukraine","ukraine","5.4","2019","47","Europe"
"Canada","canada","5.3","2011","48","North America"
"Eswatini","eswatini","5.3","2020","49","Africa"
"Gaza Strip","gaza-strip","5.3","2018","50","Middle East"
"Senegal","senegal","5.3","2019","51","Africa"
"West Bank","west-bank","5.3","2018","52","Middle East"
"Austria","austria","5.2","2018","53","Europe"
"Estonia","estonia","5.2","2018","54","Europe"
"United Kingdom","united-kingdom","5.2","2018","55","Europe"
"Australia","australia","5.1","2018","56","Australia and Oceania"
"Burundi","burundi","5.1","2018","57","Africa"
"Ethiopia","ethiopia","5.1","2018","58","Africa"
"Fiji","fiji","5.1","2019","59","Australia and Oceania"
"Kenya","kenya","5.1","2020","60","Africa"
"Uzbekistan","uzbekistan","5.1","2020","61","Central Asia"
"Belarus","belarus","5.0","2020","62","Europe"
"Dominica","dominica","5.0","2020","63","Central America and the Caribbean"
"Germany","germany","5.0","2018","64","Europe"
"Togo","togo","5.0","2019","65","Africa"
"United States","united-states","5.0","2014","66","North America"
"Curacao","curacao","4.9","2013","67","Central America and the Caribbean"
"Honduras","honduras","4.9","2019","68","Central America and the Caribbean"
"Mongolia","mongolia","4.9","2019","69","East and Southeast Asia"
"Slovenia","slovenia","4.9","2018","70","Europe"
"Switzerland","switzerland","4.9","2018","71","Europe"
"Argentina","argentina","4.8","2019","72","South America"
"Samoa","samoa","4.8","2020","73","Australia and Oceania"
"Cabo Verde","cabo-verde","4.7","2019","74","Africa"
"Malta","malta","4.7","2017","75","Europe"
"Portugal","portugal","4.7","2018","76","Europe"
"Russia","russia","4.7","2018","77","Central Asia"
"Uruguay","uruguay","4.7","2019","78","South America"
"Hungary","hungary","4.6","2018","79","Europe"
"Mauritius","mauritius","4.6","2020","80","Africa"
"Poland","poland","4.6","2018","81","Europe"
"Colombia","colombia","4.5","2019","82","South America"
"Guyana","guyana","4.5","2018","83","South America"
"Korea, South","korea-south","4.5","2018","84","East and Southeast Asia"
"Zambia","zambia","4.5","2019","85","Africa"
"Brunei","brunei","4.4","2016","86","East and Southeast Asia"
"Hong Kong","hong-kong","4.4","2020","87","East and Southeast Asia"
"Nepal","nepal","4.4","2018","88","South Asia"
"Barbados","barbados","4.3","2020","89","Central America and the Caribbean"
"Czechia","czechia","4.3","2018","90","Europe"
"Italy","italy","4.3","2018","91","Europe"
"Mexico","mexico","4.3","2018","92","North America"
"Latvia","latvia","4.2","2018","94","Europe"
"Malaysia","malaysia","4.2","2019","95","East and Southeast Asia"
"Peru","peru","4.2","2020","96","South America"
"Spain","spain","4.2","2018","97","Europe"
"Bulgaria","bulgaria","4.1","2017","98","Europe"
"Ecuador","ecuador","4.1","2020","99","South America"
"Maldives","maldives","4.1","2019","100","South Asia"
"Vietnam","vietnam","4.1","2019","101","East and Southeast Asia"
"Dominican Republic","dominican-republic","4.0","2019","102","Central America and the Caribbean"
"Ghana","ghana","4.0","2018","103","Africa"
"Slovakia","slovakia","4.0","2018","104","Europe"
"Albania","albania","3.9","2019","105","Europe"
"Congo, Republic of the","congo-republic-of-the","3.9","2019","106","Africa"
"Croatia","croatia","3.9","2017","107","Europe"
"Egypt","egypt","3.9","2015","108","Africa"
"Lithuania","lithuania","3.9","2018","109","Europe"
"Seychelles","seychelles","3.9","2019","110","Africa"
"Georgia","georgia","3.8","2020","111","Middle East"
"Cote d'Ivoire","cote-divoire","3.7","2019","112","Africa"
"Iran","iran","3.7","2019","113","Middle East"
"Luxembourg","luxembourg","3.7","2018","114","Europe"
"Anguilla","anguilla","3.6","2018","115","Central America and the Caribbean"
"Djibouti","djibouti","3.6","2018","116","Africa"
"Greece","greece","3.6","2018","117","Europe"
"Grenada","grenada","3.6","2018","118","Central America and the Caribbean"
"Saint Lucia","saint-lucia","3.6","2020","119","Central America and the Caribbean"
"Serbia","serbia","3.6","2019","120","Europe"
"Trinidad and Tobago","trinidad-and-tobago","3.6","2019","121","Central America and the Caribbean"
"Zimbabwe","zimbabwe","3.6","2018","122","Africa"
"China","china","3.5","2018","123","East and Southeast Asia"
"Cook Islands","cook-islands","3.5","2019","124","Australia and Oceania"
"India","india","3.5","2016","125","South Asia"
"Niger","niger","3.5","2019","126","Africa"
"Paraguay","paraguay","3.5","2019","127","South America"
"Turks and Caicos Islands","turks-and-caicos-islands","3.5","2019","128","Central America and the Caribbean"
"El Salvador","el-salvador","3.4","2019","129","Central America and the Caribbean"
"Ireland","ireland","3.4","2018","130","Europe"
"Mali","mali","3.4","2019","131","Africa"
"Nicaragua","nicaragua","3.4","2019","132","Central America and the Caribbean"
"Rwanda","rwanda","3.4","2020","133","Africa"
"San Marino","san-marino","3.4","2019","134","Europe"
"Antigua and Barbuda","antigua-and-barbuda","3.3","2020","135","Central America and the Caribbean"
"Guatemala","guatemala","3.3","2020","136","Central America and the Caribbean"
"Romania","romania","3.3","2018","137","Europe"
"Afghanistan","afghanistan","3.2","2019","138","South Asia"
"Andorra","andorra","3.2","2019","139","Europe"
"Japan","japan","3.2","2017","140","East and Southeast Asia"
"Philippines","philippines","3.2","2019","141","East and Southeast Asia"
"Qatar","qatar","3.2","2020","142","Middle East"
"Cameroon","cameroon","3.1","2019","143","Africa"
"Macau","macau","3.1","2019","144","East and Southeast Asia"
"Panama","panama","3.1","2019","145","Central America and the Caribbean"
"Tanzania","tanzania","3.1","2020","146","Africa"
"Turkmenistan","turkmenistan","3.1","2019","147","Central Asia"
"United Arab Emirates","united-arab-emirates","3.1","2019","148","Middle East"
"Benin","benin","3.0","2019","149","Africa"
"Jordan","jordan","3.0","2019","150","Middle East"
"Thailand","thailand","3.0","2019","151","East and Southeast Asia"
"Uganda","uganda","3.0","2020","152","Africa"
"British Virgin Islands","british-virgin-islands","2.9","2019","153","Central America and the Caribbean"
"Gambia, The","gambia-the","2.9","2019","154","Africa"
"Guinea-Bissau","guinea-bissau","2.9","2019","155","Africa"
"Kazakhstan","kazakhstan","2.9","2019","156","Central Asia"
"Laos","laos","2.9","2014","157","East and Southeast Asia"
"Madagascar","madagascar","2.9","2019","158","Africa"
"Malawi","malawi","2.9","2020","159","Africa"
"Gabon","gabon","2.8","2019","160","Africa"
"Indonesia","indonesia","2.8","2019","161","East and Southeast Asia"
"Armenia","armenia","2.7","2020","162","Middle East"
"Azerbaijan","azerbaijan","2.7","2019","163","Middle East"
"Lebanon","lebanon","2.6","2019","164","Middle East"
"Liechtenstein","liechtenstein","2.6","2011","165","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","2.6","2015","166","Central America and the Caribbean"
"Bahamas, The","bahamas-the","2.5","2020","167","Central America and the Caribbean"
"Comoros","comoros","2.5","2015","168","Africa"
"Pakistan","pakistan","2.5","2019","169","South Asia"
"Singapore","singapore","2.5","2020","170","East and Southeast Asia"
"Chad","chad","2.4","2019","171","Africa"
"Bahrain","bahrain","2.3","2017","172","Middle East"
"Liberia","liberia","2.3","2020","173","Africa"
"Vanuatu","vanuatu","2.3","2020","174","Australia and Oceania"
"Cambodia","cambodia","2.2","2018","175","East and Southeast Asia"
"Guinea","guinea","2.2","2020","176","Africa"
"Sri Lanka","sri-lanka","2.1","2018","177","South Asia"
"Burma","burma","2.0","2019","178","East and Southeast Asia"
"Mauritania","mauritania","1.9","2020","179","Africa"
"Papua New Guinea","papua-new-guinea","1.9","2018","180","East and Southeast Asia"
"Angola","angola","1.8","2019","181","Africa"
"Central African Republic","central-african-republic","1.8","2019","182","Africa"
"Haiti","haiti","1.7","2018","183","Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","1.5","2017","184","Africa"
"South Sudan","south-sudan","1.5","2016","185","Africa"
"Bangladesh","bangladesh","1.3","2019","186","South Asia"
"Bermuda","bermuda","1.3","2017","187","North America"
"Venezuela","venezuela","1.3","2017","188","South America"
"Monaco","monaco","1.2","2019","189","Europe"